,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A017180,명문제약,20210823,5110,5210,5100,5200,86165,009,33953000
1,A017180,명문제약,20210820,5370,5450,5080,5110,540627,009,33953000
2,A017180,명문제약,20210819,5530,5540,5350,5360,497730,009,33953000
3,A017180,명문제약,20210818,5300,5880,5300,5550,3976981,009,33953000
4,A017180,명문제약,20210817,5500,5530,5350,5350,283748,009,33953000
5,A017180,명문제약,20210813,5670,5710,5430,5550,454945,009,33953000
6,A017180,명문제약,20210812,5770,5830,5660,5680,336085,009,33953000
7,A017180,명문제약,20210811,5920,5960,5750,5800,890483,009,33953000
8,A017180,명문제약,20210810,5690,5950,5620,5920,1080212,009,33953000
9,A017180,명문제약,20210809,5760,5920,5660,5760,1528851,009,33953000
10,A017180,명문제약,20210806,5720,5720,5640,5680,150621,009,33953000
11,A017180,명문제약,20210805,5620,5770,5580,5690,373017,009,33953000
12,A017180,명문제약,20210804,5600,5620,5520,5620,155013,009,33953000
13,A017180,명문제약,20210803,5530,5670,5530,5580,232786,009,33953000
14,A017180,명문제약,20210802,5660,5660,5530,5530,206738,009,33953000
15,A017180,명문제약,20210730,5580,5740,5540,5620,294731,009,33953000
16,A017180,명문제약,20210729,5650,5690,5560,5610,183588,009,33953000
17,A017180,명문제약,20210728,5520,5800,5480,5660,921979,009,33953000
18,A017180,명문제약,20210727,5430,5680,5410,5470,319795,009,33953000
19,A017180,명문제약,20210726,5500,5520,5420,5420,165670,009,33953000
20,A017180,명문제약,20210723,5470,5520,5460,5500,188863,009,33953000
21,A017180,명문제약,20210722,5570,5570,5440,5470,184078,009,33953000
22,A017180,명문제약,20210721,5600,5630,5480,5490,299675,009,33953000
23,A017180,명문제약,20210720,5600,5670,5520,5560,207347,009,33953000
24,A017180,명문제약,20210719,5670,5730,5640,5660,192021,009,33953000
25,A017180,명문제약,20210716,5820,5840,5700,5700,309148,009,33953000
26,A017180,명문제약,20210715,5700,5760,5660,5700,281112,009,33953000
27,A017180,명문제약,20210714,5710,5710,5650,5660,197339,009,33953000
28,A017180,명문제약,20210713,5660,5760,5660,5700,214042,009,33953000
29,A017180,명문제약,20210712,5680,5740,5650,5710,154460,009,33953000
30,A017180,명문제약,20210709,5680,5740,5570,5640,344441,009,33953000
31,A017180,명문제약,20210708,5850,6000,5720,5760,631983,009,33953000
32,A017180,명문제약,20210707,5880,5940,5820,5850,268721,009,33953000
33,A017180,명문제약,20210706,6010,6020,5810,5890,433060,009,33953000
34,A017180,명문제약,20210705,5870,6070,5830,5990,934554,009,33953000
35,A017180,명문제약,20210702,5870,5900,5800,5820,273992,009,33953000
36,A017180,명문제약,20210701,5840,5890,5780,5870,304718,009,33953000
37,A017180,명문제약,20210630,5880,5910,5750,5820,327539,009,33953000
38,A017180,명문제약,20210629,5880,5960,5790,5860,461282,009,33953000
39,A017180,명문제약,20210628,5730,5950,5720,5850,999832,009,33953000
40,A017180,명문제약,20210625,5770,5950,5620,5740,2438204,009,33953000
41,A017180,명문제약,20210624,5690,5690,5520,5530,395049,009,33953000
42,A017180,명문제약,20210623,5550,5640,5500,5610,414180,009,33953000
43,A017180,명문제약,20210622,5510,5560,5470,5490,168761,009,33953000
44,A017180,명문제약,20210621,5550,5590,5450,5480,268346,009,33953000
45,A017180,명문제약,20210618,5650,5680,5580,5590,211111,009,33953000
46,A017180,명문제약,20210617,5620,5670,5580,5630,150063,009,33953000
47,A017180,명문제약,20210616,5640,5700,5570,5630,306508,009,33953000
48,A017180,명문제약,20210615,5590,5780,5530,5610,462815,009,33953000
49,A017180,명문제약,20210614,5580,5610,5510,5560,218426,009,33953000
50,A017180,명문제약,20210611,5650,5650,5540,5560,272685,009,33953000
51,A017180,명문제약,20210610,5730,5770,5600,5600,587527,009,33953000
52,A017180,명문제약,20210609,5700,5880,5670,5670,660814,009,33953000
53,A017180,명문제약,20210608,6170,6380,5630,5730,4836932,009,33953000
54,A017180,명문제약,20210607,5770,5770,5600,5620,404346,009,33953000
55,A017180,명문제약,20210604,5630,5770,5620,5720,527567,009,33953000
56,A017180,명문제약,20210603,5590,5650,5560,5620,192956,009,33953000
57,A017180,명문제약,20210602,5620,5620,5560,5590,198636,009,33953000
58,A017180,명문제약,20210601,5610,5660,5540,5620,185653,009,33953000
59,A017180,명문제약,20210531,5490,5640,5470,5600,245670,009,33953000
60,A017180,명문제약,20210528,5470,5550,5420,5490,252844,009,33953000
61,A017180,명문제약,20210527,5450,5480,5390,5420,123627,009,33953000
62,A017180,명문제약,20210526,5400,5460,5380,5450,202235,009,33953000
63,A017180,명문제약,20210525,5440,5480,5400,5430,212519,009,33953000
64,A017180,명문제약,20210524,5560,5620,5430,5440,180447,009,33953000
65,A017180,명문제약,20210521,5440,5730,5440,5590,654946,009,33953000
66,A017180,명문제약,20210520,5410,5450,5350,5440,108778,009,33953000
67,A017180,명문제약,20210518,5400,5460,5360,5410,134527,009,33953000
68,A017180,명문제약,20210517,5500,5550,5410,5410,153281,009,33953000
69,A017180,명문제약,20210514,5520,5530,5450,5470,106062,009,33953000
70,A017180,명문제약,20210513,5550,5600,5400,5500,162054,009,33953000
71,A017180,명문제약,20210512,5690,5760,5530,5630,331512,009,33953000
72,A017180,명문제약,20210511,5690,5700,5530,5700,255363,009,33953000
73,A017180,명문제약,20210510,5520,5760,5450,5690,568169,009,33953000
74,A017180,명문제약,20210507,5350,5500,5350,5500,236227,009,33953000
75,A017180,명문제약,20210506,5260,5370,4985,5370,198888,009,33953000
76,A017180,명문제약,20210504,5310,5360,5180,5260,279816,009,33953000
77,A017180,명문제약,20210503,5440,5540,5310,5310,302158,009,33953000
78,A017180,명문제약,20210430,5830,5840,5480,5500,583278,009,33953000
79,A017180,명문제약,20210429,6000,6040,5800,5840,587984,009,33953000
80,A017180,명문제약,20210428,5860,6130,5790,6010,2361069,009,33953000
81,A017180,명문제약,20210427,5890,5960,5710,5830,1035041,009,33953000
82,A017180,명문제약,20210426,5600,5880,5510,5770,776958,009,33953000
83,A017180,명문제약,20210423,5440,5620,5410,5570,345940,009,33953000
84,A017180,명문제약,20210422,5570,5600,5470,5480,208992,009,33953000
85,A017180,명문제약,20210421,5600,5600,5500,5540,287521,009,33953000
86,A017180,명문제약,20210420,5580,5650,5550,5630,293109,009,33953000
87,A017180,명문제약,20210419,5580,5650,5540,5630,354504,009,33953000
88,A017180,명문제약,20210416,5540,5630,5500,5580,220369,009,33953000
89,A017180,명문제약,20210415,5540,5580,5460,5510,264202,009,33953000
90,A017180,명문제약,20210414,5600,5640,5480,5550,438609,009,33953000
91,A017180,명문제약,20210413,5320,5700,5320,5640,1418504,009,33953000
92,A017180,명문제약,20210412,5300,5350,5260,5320,185533,009,33953000
93,A017180,명문제약,20210409,5390,5400,5290,5300,240303,009,33953000
94,A017180,명문제약,20210408,5160,5370,5150,5340,376276,009,33953000
95,A017180,명문제약,20210407,5040,5210,5030,5160,238307,009,33953000
96,A017180,명문제약,20210406,5130,5170,5030,5040,325087,009,33953000
97,A017180,명문제약,20210405,5190,5230,5110,5120,275711,009,33953000
98,A017180,명문제약,20210402,5200,5240,5150,5200,295187,009,33953000
99,A017180,명문제약,20210401,5220,5270,5140,5170,233588,009,33953000
100,A017180,명문제약,20210331,5280,5280,5180,5200,237345,009,33953000
101,A017180,명문제약,20210330,5210,5280,5140,5250,247089,009,33953000
102,A017180,명문제약,20210329,5350,5420,5210,5210,407991,009,33953000
103,A017180,명문제약,20210326,5350,5490,5320,5340,256738,009,33953000
104,A017180,명문제약,20210325,5420,5470,5290,5320,453992,009,33953000
105,A017180,명문제약,20210324,5530,5610,5420,5460,337967,009,33953000
106,A017180,명문제약,20210323,5550,5690,5500,5530,384577,009,33953000
107,A017180,명문제약,20210322,5680,5730,5540,5550,337141,009,33953000
108,A017180,명문제약,20210319,5660,5750,5580,5680,251426,009,33953000
109,A017180,명문제약,20210318,5810,5910,5750,5750,487957,009,33953000
110,A017180,명문제약,20210317,5760,6130,5690,5900,944238,009,33953000
111,A017180,명문제약,20210316,5440,6090,5410,5760,3403211,009,33953000
112,A017180,명문제약,20210315,5370,5490,5350,5360,401807,009,33953000
113,A017180,명문제약,20210312,5230,5450,5230,5420,478788,009,33953000
114,A017180,명문제약,20210311,5230,5300,5210,5230,193844,009,33953000
115,A017180,명문제약,20210310,5230,5570,5210,5260,849956,009,33953000
116,A017180,명문제약,20210309,5180,5280,4970,5220,613565,009,33953000
117,A017180,명문제약,20210308,5550,5570,5250,5250,403684,009,33953000
118,A017180,명문제약,20210305,5400,5550,5320,5550,375024,009,33953000
119,A017180,명문제약,20210304,5650,5650,5470,5500,335574,009,33953000
120,A017180,명문제약,20210303,5580,5790,5580,5660,451196,009,33953000
121,A017180,명문제약,20210302,5600,5700,5550,5580,277323,009,33953000
122,A017180,명문제약,20210226,5590,5630,5420,5550,571332,009,33953000
123,A017180,명문제약,20210225,5670,5830,5650,5710,444703,009,33953000
124,A017180,명문제약,20210224,5900,5950,5660,5660,730697,009,33953000
125,A017180,명문제약,20210223,6020,6070,5950,5950,381853,009,33953000
126,A017180,명문제약,20210222,6130,6210,6050,6070,371562,009,33953000
127,A017180,명문제약,20210219,6090,6160,6030,6090,360241,009,33953000
128,A017180,명문제약,20210218,6140,6220,6070,6090,443835,009,33953000
129,A017180,명문제약,20210217,6280,6290,6120,6160,435761,009,33953000
130,A017180,명문제약,20210216,6380,6420,6210,6250,495023,009,33953000
131,A017180,명문제약,20210215,6250,6420,6230,6370,379231,009,33953000
132,A017180,명문제약,20210210,6310,6310,6210,6270,282249,009,33953000
133,A017180,명문제약,20210209,6290,6370,6260,6260,311360,009,33953000
134,A017180,명문제약,20210208,6480,6480,6280,6290,414943,009,33953000
135,A017180,명문제약,20210205,6660,6660,6460,6500,396419,009,33953000
136,A017180,명문제약,20210204,6670,6780,6560,6600,567037,009,33953000
137,A017180,명문제약,20210203,6540,6850,6400,6660,1392558,009,33953000
138,A017180,명문제약,20210202,6370,6560,6310,6450,383130,009,33953000
139,A017180,명문제약,20210201,6140,6450,6090,6370,696812,009,33953000
140,A017180,명문제약,20210129,6530,6590,6050,6200,919029,009,33953000
141,A017180,명문제약,20210128,6630,6740,6510,6510,924477,009,33953000
142,A017180,명문제약,20210127,7040,7090,6800,6810,1002500,009,33953000
143,A017180,명문제약,20210126,7160,7210,7010,7040,798676,009,33953000
144,A017180,명문제약,20210125,7170,7250,7140,7160,713905,009,33953000
145,A017180,명문제약,20210122,7170,7210,7070,7110,949776,009,33953000
146,A017180,명문제약,20210121,7480,7500,7150,7220,1414846,009,33953000
147,A017180,명문제약,20210120,7180,7670,7100,7380,2533620,009,33953000
148,A017180,명문제약,20210119,7200,7270,7050,7200,1496408,009,33953000
149,A017180,명문제약,20210118,7500,7500,7070,7080,2284214,009,33953000
150,A017180,명문제약,20210115,7890,8070,7610,7610,2855910,009,33953000
151,A017180,명문제약,20210114,7670,8280,7600,7790,7224385,009,33953000
152,A017180,명문제약,20210113,7430,7890,7350,7670,3738818,009,33953000
153,A017180,명문제약,20210112,7260,7780,7260,7430,3828176,009,33953000
154,A017180,명문제약,20210111,7790,7810,7110,7250,3286803,009,33953000
155,A017180,명문제약,20210108,8450,8750,7730,7860,7089284,009,33953000
156,A017180,명문제약,20210107,8540,9160,8250,8320,13368236,009,33953000
157,A017180,명문제약,20210106,7990,9680,7830,8650,79308719,009,33953000
158,A017180,명문제약,20210105,7430,8020,7240,7830,12315423,009,33953000
159,A017180,명문제약,20210104,7450,7550,7230,7520,2585308,009,33953000
160,A017180,명문제약,20201230,7190,7700,7050,7270,7053472,009,33953000
161,A017180,명문제약,20201229,6910,7390,6910,7180,6294288,009,33953000
162,A017180,명문제약,20201228,7310,7370,6820,6860,5180031,009,33953000
163,A017180,명문제약,20201224,7850,8180,7450,7460,8745334,009,33953000
164,A017180,명문제약,20201223,9270,9280,7790,7970,16574193,009,33953000
165,A017180,명문제약,20201222,10150,11750,9320,9490,47671390,009,33953000
166,A017180,명문제약,20201221,7280,9420,7140,9420,58514363,009,33953000
167,A017180,명문제약,20201218,6990,7440,6830,7250,6747696,009,33953000
168,A017180,명문제약,20201217,7130,7160,6840,6880,1567233,009,33953000
169,A017180,명문제약,20201216,7070,7460,7020,7130,5518984,009,33953000
170,A017180,명문제약,20201215,7180,7190,6950,6970,2105789,009,33953000
171,A017180,명문제약,20201214,6830,7180,6710,7170,4321828,009,33953000
172,A017180,명문제약,20201211,6780,6910,6600,6780,2182833,009,33953000
173,A017180,명문제약,20201210,6820,7310,6770,6850,11550965,009,33953000
174,A017180,명문제약,20201209,6550,6880,6470,6730,3475101,009,33953000
175,A017180,명문제약,20201208,6650,6720,6450,6470,1129450,009,33953000
176,A017180,명문제약,20201207,6560,6670,6470,6670,1367547,009,33953000
177,A017180,명문제약,20201204,6550,6620,6430,6530,1271605,009,33953000
178,A017180,명문제약,20201203,6750,6760,6500,6570,1062043,009,33953000
179,A017180,명문제약,20201202,6720,6900,6650,6690,2283220,009,33953000
180,A017180,명문제약,20201201,6480,6790,6480,6750,3208725,009,33953000
181,A017180,명문제약,20201130,6570,6700,6460,6510,1554450,009,33953000
182,A017180,명문제약,20201127,6500,6660,6320,6600,3194780,009,33953000
183,A017180,명문제약,20201126,6160,6990,6120,6420,6063999,009,33953000
184,A017180,명문제약,20201125,6220,6330,6060,6180,937799,009,33953000
185,A017180,명문제약,20201124,6230,6260,6130,6220,620863,009,33953000
186,A017180,명문제약,20201123,6400,6400,6130,6220,947968,009,33953000
187,A017180,명문제약,20201120,6320,6500,6160,6370,2165708,009,33953000
188,A017180,명문제약,20201119,6160,6280,6100,6250,1092064,009,33953000
189,A017180,명문제약,20201118,6070,6160,6030,6160,748849,009,33953000
190,A017180,명문제약,20201117,6160,6270,6020,6040,1310145,009,33953000
191,A017180,명문제약,20201116,6220,6380,6210,6230,1008772,009,33953000
192,A017180,명문제약,20201113,6450,6520,6210,6220,2365911,009,33953000
193,A017180,명문제약,20201112,6530,6680,6270,6380,2705661,009,33953000
194,A017180,명문제약,20201111,6190,6870,6150,6450,12925195,009,33953000
195,A017180,명문제약,20201110,6160,6170,6030,6080,817643,009,33953000
196,A017180,명문제약,20201109,6040,6150,6040,6110,614856,009,33953000
197,A017180,명문제약,20201106,6120,6140,6000,6010,606865,009,33953000
198,A017180,명문제약,20201105,6200,6220,6050,6090,1045198,009,33953000
199,A017180,명문제약,20201104,6130,6130,5970,6010,647920,009,33953000
200,A017180,명문제약,20201103,6050,6140,6010,6060,726479,009,33953000
201,A017180,명문제약,20201102,6000,6100,5970,5980,404356,009,33953000
202,A017180,명문제약,20201030,6060,6250,5960,5960,804791,009,33953000
203,A017180,명문제약,20201029,5910,6070,5910,6040,645636,009,33953000
204,A017180,명문제약,20201028,5900,6160,5900,6030,798985,009,33953000
205,A017180,명문제약,20201027,6020,6260,5900,5960,1273586,009,33953000
206,A017180,명문제약,20201026,6530,6550,6000,6100,2392970,009,33953000
207,A017180,명문제약,20201023,6670,7030,6410,6820,7777549,009,33953000
208,A017180,명문제약,20201022,6260,6740,6140,6740,4622933,009,33953000
209,A017180,명문제약,20201021,6070,6490,5990,6230,2899976,009,33953000
210,A017180,명문제약,20201020,6110,6190,5900,6050,1023431,009,33953000
211,A017180,명문제약,20201019,6190,6370,6100,6200,1246507,009,33953000
212,A017180,명문제약,20201016,6360,6420,6060,6140,1478690,009,33953000
213,A017180,명문제약,20201015,6630,6690,6200,6340,2084501,009,33953000
214,A017180,명문제약,20201014,6700,6930,6610,6670,3118813,009,33953000
215,A017180,명문제약,20201013,6870,6890,6670,6700,2414713,009,33953000
216,A017180,명문제약,20201012,7120,7180,6810,6850,3375562,009,33953000
217,A017180,명문제약,20201008,7350,7760,7190,7190,14564424,009,33953000
218,A017180,명문제약,20201007,7370,7490,7190,7280,8074264,009,33953000
219,A017180,명문제약,20201006,7370,7700,7100,7300,20390414,009,33953000
220,A017180,명문제약,20201005,7580,8330,7200,7370,49480302,009,33953000
221,A017180,명문제약,20200929,6150,7820,6110,6980,48708891,009,33953000
222,A017180,명문제약,20200928,6160,6270,6100,6140,979474,009,33953000
223,A017180,명문제약,20200925,6050,6850,5990,6100,6304100,009,33953000
224,A017180,명문제약,20200924,5620,6650,5620,6150,8046350,009,33953000
225,A017180,명문제약,20200923,5800,5910,5580,5770,752953,009,33953000
226,A017180,명문제약,20200922,5930,6050,5690,5750,789000,009,33953000
227,A017180,명문제약,20200921,6310,6320,5950,6000,895215,009,33953000
228,A017180,명문제약,20200918,6250,6410,6230,6270,563602,009,33953000
229,A017180,명문제약,20200917,6510,6530,6300,6300,693846,009,33953000
230,A017180,명문제약,20200916,6680,6850,6400,6460,2374516,009,33953000
231,A017180,명문제약,20200915,6590,6660,6490,6660,958051,009,33953000
232,A017180,명문제약,20200914,6600,6620,6500,6590,883181,009,33953000
233,A017180,명문제약,20200911,6290,6760,6290,6550,2347606,009,33953000
234,A017180,명문제약,20200910,6380,6430,6290,6320,682544,009,33953000
235,A017180,명문제약,20200909,6300,6550,6250,6310,1150367,009,33953000
236,A017180,명문제약,20200908,6440,6460,6310,6390,1091382,009,33953000
237,A017180,명문제약,20200907,6600,6620,6400,6400,1752806,009,33953000
238,A017180,명문제약,20200904,6500,6670,6410,6630,1957465,009,33953000
239,A017180,명문제약,20200903,6690,6970,6600,6800,5752540,009,33953000
240,A017180,명문제약,20200902,6590,6660,6340,6660,2632322,009,33953000
241,A017180,명문제약,20200901,6370,6670,6350,6650,4648202,009,33953000
242,A017180,명문제약,20200831,6340,6550,6340,6360,1889490,009,33953000
243,A017180,명문제약,20200828,6270,6510,6260,6350,2371253,009,33953000
244,A017180,명문제약,20200827,6400,6560,6150,6230,4016809,009,33953000
245,A017180,명문제약,20200826,6210,6790,6170,6440,10156773,009,33953000
246,A017180,명문제약,20200825,5810,6340,5780,6140,5181390,009,33953000
247,A017180,명문제약,20200824,5660,5780,5580,5770,518864,009,33953000
248,A017180,명문제약,20200821,5890,5900,5580,5660,853368,009,33953000
249,A017180,명문제약,20200820,5850,6040,5670,5800,1111776,009,33953000
250,A017180,명문제약,20200819,5560,5890,5560,5850,721477,009,33953000
251,A017180,명문제약,20200818,5870,5960,5440,5600,1016458,009,33953000
252,A017180,명문제약,20200814,6120,6150,5860,5870,1118691,009,33953000
253,A017180,명문제약,20200813,6130,6250,6130,6170,801536,009,33953000
254,A017180,명문제약,20200812,6300,6310,6080,6110,1366582,009,33953000
255,A017180,명문제약,20200811,6370,6420,6300,6330,1310371,009,33953000
256,A017180,명문제약,20200810,6360,6550,6230,6470,1932499,009,33953000
257,A017180,명문제약,20200807,6720,6960,6420,6420,10579436,009,33953000
258,A017180,명문제약,20200806,6400,6530,6270,6390,3148542,009,33953000
259,A017180,명문제약,20200805,6640,7190,6280,6390,22700714,009,33625000
260,A017180,명문제약,20200804,5900,6420,5830,6170,6958362,009,33625000
261,A017180,명문제약,20200803,5900,5970,5780,5870,1005759,009,33337000
262,A017180,명문제약,20200731,5800,5950,5760,5880,1238327,009,33337000
263,A017180,명문제약,20200730,6030,6060,5820,5880,1560641,009,33337000
264,A017180,명문제약,20200729,5900,6100,5900,5970,1470673,009,33337000
265,A017180,명문제약,20200728,6140,6220,5800,5950,2181004,009,33337000
266,A017180,명문제약,20200727,6510,6510,6050,6060,3185518,009,33337000
267,A017180,명문제약,20200724,6560,6980,6310,6590,15343180,009,33337000
268,A017180,명문제약,20200723,6200,7340,6050,6260,42747721,009,33337000
269,A017180,명문제약,20200722,6010,6030,5770,5960,2194595,009,33337000
270,A017180,명문제약,20200721,5670,6290,5550,6030,14989826,009,33337000
271,A017180,명문제약,20200720,5500,5600,5440,5530,855165,009,33337000
272,A017180,명문제약,20200717,5420,5510,5420,5480,466560,009,33337000
273,A017180,명문제약,20200716,5540,5540,5370,5400,614247,009,33337000
274,A017180,명문제약,20200715,5590,5600,5450,5480,763138,009,33001000
275,A017180,명문제약,20200714,5480,5790,5480,5580,3767056,009,33001000
276,A017180,명문제약,20200713,5450,5490,5350,5470,733775,009,33001000
277,A017180,명문제약,20200710,5270,5400,5240,5400,839656,009,33001000
278,A017180,명문제약,20200709,5360,5420,5240,5260,1047864,009,33001000
279,A017180,명문제약,20200708,5710,5720,5350,5360,1863635,009,33001000
280,A017180,명문제약,20200707,5600,5680,5590,5640,570827,009,25921000
281,A017180,명문제약,20200706,5660,5750,5630,5660,927025,009,25921000
282,A017180,명문제약,20200703,5720,5780,5590,5730,721063,009,25921000
283,A017180,명문제약,20200702,5900,6430,5680,5680,6649461,009,25921000
284,A017180,명문제약,20200701,5730,5800,5600,5650,443129,009,25921000
285,A017180,명문제약,20200630,5850,5890,5510,5760,787706,009,25921000
286,A017180,명문제약,20200629,6040,6080,5790,5810,924951,009,25921000
287,A017180,명문제약,20200626,6380,6380,6060,6110,854843,009,25921000
288,A017180,명문제약,20200625,6040,6330,6040,6330,1346357,009,25921000
289,A017180,명문제약,20200624,6050,6240,6040,6140,824529,009,25921000
290,A017180,명문제약,20200623,6380,6400,5870,6050,954460,009,25921000
291,A017180,명문제약,20200622,6240,6370,6210,6330,698550,009,25921000
292,A017180,명문제약,20200619,6410,6450,6130,6240,1182320,009,25921000
293,A017180,명문제약,20200618,6490,6500,6300,6410,1084059,009,25921000
294,A017180,명문제약,20200617,7000,7050,6200,6330,2970947,009,25921000
295,A017180,명문제약,20200616,6330,6530,6320,6490,1739152,009,25921000
296,A017180,명문제약,20200615,6820,6960,6150,6210,2147488,009,25921000
297,A017180,명문제약,20200612,6830,6970,6730,6820,1974592,009,25921000
298,A017180,명문제약,20200611,7300,7630,7090,7090,8501805,009,25921000
299,A017180,명문제약,20200610,7280,7440,7030,7040,5208906,009,25921000
300,A017180,명문제약,20200609,7020,7580,6870,7320,15573123,009,25921000
301,A017180,명문제약,20200608,6890,7150,6770,7020,4528987,009,25921000
302,A017180,명문제약,20200605,6730,7320,6710,6850,12047523,009,25921000
303,A017180,명문제약,20200604,6870,6910,6720,6730,1666458,009,25921000
304,A017180,명문제약,20200603,6940,7070,6630,6920,4224910,009,25921000
305,A017180,명문제약,20200602,7040,7050,6810,6910,1899129,009,25921000
306,A017180,명문제약,20200601,6820,7230,6790,7020,3681697,009,25921000
307,A017180,명문제약,20200529,7200,7440,6870,6950,4078537,009,25921000
308,A017180,명문제약,20200528,7530,7570,7020,7300,6122831,009,24625000
309,A017180,명문제약,20200527,8120,8500,7580,7700,22118537,009,24625000
310,A017180,명문제약,20200526,7340,8720,7010,8520,63554330,009,24625000
311,A017180,명문제약,20200525,6730,7320,6560,6780,20712419,009,24625000
312,A017180,명문제약,20200522,6280,7340,6260,6410,37626640,009,24625000
313,A017180,명문제약,20200521,6330,6480,6140,6300,2820765,009,24625000
314,A017180,명문제약,20200520,6440,6850,6320,6360,10076574,009,24625000
315,A017180,명문제약,20200519,6890,6900,6340,6340,6833391,009,24625000
316,A017180,명문제약,20200518,6800,7980,6370,6920,66100262,009,24625000
317,A017180,명문제약,20200515,5210,6610,5110,6610,33341145,009,24625000
318,A017180,명문제약,20200514,4750,5190,4700,5090,3026818,009,24625000
319,A017180,명문제약,20200513,4669,4800,4660,4660,662565,009,24625000
320,A017180,명문제약,20200512,4669,4753,4594,4716,633235,009,24625000
321,A017180,명문제약,20200511,4846,4865,4636,4650,934770,009,24625000
322,A017180,명문제약,20200508,5052,5070,4809,4828,1954248,009,24625000
323,A017180,명문제약,20200507,4688,4856,4669,4781,809599,009,24625000
324,A017180,명문제약,20200506,4725,4734,4636,4669,451044,009,24625000
325,A017180,명문제약,20200504,4547,4706,4543,4622,494154,009,24625000
326,A017180,명문제약,20200429,4631,4753,4603,4603,604980,009,24625000
327,A017180,명문제약,20200428,4790,4800,4599,4631,985736,009,24625000
328,A017180,명문제약,20200427,4818,4893,4688,4753,1054603,009,24625000
329,A017180,명문제약,20200424,5005,5080,4790,4837,911628,009,24625000
330,A017180,명문제약,20200423,5014,5108,4958,5042,808120,009,24625000
331,A017180,명문제약,20200422,4949,5276,4818,4968,2750466,009,24625000
332,A017180,명문제약,20200421,5136,5220,4608,4949,2094825,009,24625000
333,A017180,명문제약,20200420,5351,5397,5098,5098,1875164,009,24625000
334,A017180,명문제약,20200417,5285,5304,5014,5257,1914552,009,24625000
335,A017180,명문제약,20200416,5425,5687,5164,5238,7852858,009,24625000
336,A017180,명문제약,20200414,5098,5341,4893,5229,4813897,009,24625000
337,A017180,명문제약,20200413,4818,5080,4800,4996,3177894,009,24625000
338,A017180,명문제약,20200410,5164,5369,4744,4856,5158590,009,24625000
339,A017180,명문제약,20200409,5136,5444,5042,5117,7567394,009,24625000
340,A017180,명문제약,20200408,5126,5257,4940,5042,7845226,009,24625000
341,A017180,명문제약,20200407,6191,6191,5556,5789,7690677,009,24625000
342,A017180,명문제약,20200406,5817,6705,5631,6303,20383231,009,24625000
343,A017180,명문제약,20200403,4585,5789,4519,5463,32593475,009,24625000
344,A017180,명문제약,20200402,4580,4585,4291,4529,1058007,009,24625000
345,A017180,명문제약,20200401,4902,4996,4491,4580,2000173,009,24625000
346,A017180,명문제약,20200331,4958,5173,4575,4828,5438666,009,24625000
347,A017180,명문제약,20200330,4361,4725,4230,4706,3979087,009,24625000
348,A017180,명문제약,20200327,4482,4585,4034,4230,4199858,009,24625000
349,A017180,명문제약,20200326,4216,4538,4123,4286,4408115,009,24625000
350,A017180,명문제약,20200325,4230,4463,4006,4197,3190027,009,24625000
351,A017180,명문제약,20200324,4104,4454,3940,4099,4670747,009,24625000
352,A017180,명문제약,20200323,3595,4281,3450,4052,5300426,009,24625000
353,A017180,명문제약,20200320,3240,3828,3170,3586,2152367,009,24625000
354,A017180,명문제약,20200319,3730,3735,3081,3091,1217063,009,24625000
355,A017180,명문제약,20200318,3782,4001,3469,3469,2025156,009,24625000
356,A017180,명문제약,20200317,2941,4090,2941,3782,7558288,009,24625000
357,A017180,명문제약,20200316,3417,3530,3175,3175,514289,009,24625000
358,A017180,명문제약,20200313,3455,3539,3128,3343,935805,009,24625000
359,A017180,명문제약,20200312,3987,4081,3651,3772,643465,009,24625000
360,A017180,명문제약,20200311,4202,4300,3950,4015,472700,009,24625000
361,A017180,명문제약,20200310,4146,4272,4137,4165,536562,009,24625000
362,A017180,명문제약,20200309,4557,4557,4253,4253,878429,009,24625000
363,A017180,명문제약,20200306,4314,4996,4258,4566,6347694,009,24625000
364,A017180,명문제약,20200305,4207,4431,4169,4351,878026,009,24625000
365,A017180,명문제약,20200304,4085,4239,4071,4165,278020,009,24625000
366,A017180,명문제약,20200303,4066,4174,4024,4071,369277,009,24625000
367,A017180,명문제약,20200302,3856,3987,3856,3968,307566,009,24625000
368,A017180,명문제약,20200228,4104,4193,3898,3922,605626,009,24625000
369,A017180,명문제약,20200227,4445,4501,4183,4211,451389,009,24625000
370,A017180,명문제약,20200226,4473,4519,4356,4389,510426,009,24625000
371,A017180,명문제약,20200225,4482,4631,4398,4501,496775,009,24625000
372,A017180,명문제약,20200224,4706,4912,4519,4566,2550370,009,24625000
373,A017180,명문제약,20200221,4734,4744,4505,4566,809504,009,24625000
374,A017180,명문제약,20200220,4809,4846,4650,4669,803566,009,24625000
375,A017180,명문제약,20200219,4660,4884,4585,4762,1546985,009,24625000
376,A017180,명문제약,20200218,4585,4856,4575,4641,912317,009,24625000
377,A017180,명문제약,20200217,4622,4669,4589,4603,270598,009,24625000
378,A017180,명문제약,20200214,4977,5014,4641,4655,1352006,009,24625000
379,A017180,명문제약,20200213,4557,4678,4538,4655,425274,009,24625000
380,A017180,명문제약,20200212,4543,4575,4463,4533,384558,009,24540000
381,A017180,명문제약,20200211,4594,4627,4529,4580,302716,009,24540000
